Country;Province ;Admin_Type;Admin_Level_2016;ANC_share_2016;ANC_share_2011;Change
South Africa ;EC;Metropolitan Municipality;BUF ;0.587433981;0.700050535;-0.160869178
South Africa ;EC;Local Municipality;EC101 ;0.51048639;0.555037313;-0.080266538
South Africa ;EC;Local Municipality;EC102 ;0.604316218;0.635153396;-0.048550757
South Africa ;EC;Local Municipality;EC104 ;0.618400407;0.725534607;-0.147662425
South Africa ;EC;Local Municipality;EC105 ;0.621894794;0.67422103;-0.077609914
South Africa ;EC;Local Municipality;EC106 ;0.713611517;0.733676258;-0.027348222
South Africa ;EC;Local Municipality;EC108 ;0.405740619;0.490207741;-0.17230883
South Africa ;EC;Local Municipality;EC109 ;0.508655462;0.576736601;-0.118045462
South Africa ;EC;Local Municipality;EC121 ;0.730998709;0.65922655;0.108873284
South Africa ;EC;Local Municipality;EC122 ;0.753472057;0.749520103;0.005272646
South Africa ;EC;Local Municipality;EC123 ;0.707759073;0.840174569;-0.157604742
South Africa ;EC;Local Municipality;EC124 ;0.775987237;0.812732591;-0.045212108
South Africa ;EC;Local Municipality;EC126 ;0.843973092;0.957190017;-0.118280512
South Africa ;EC;Local Municipality;EC129 ;0.787946026;;
South Africa ;EC;Local Municipality;EC131 ;0.58396847;0.638862855;-0.085925148
South Africa ;EC;Local Municipality;EC135 ;0.809880375;0.880936745;-0.080660014
South Africa ;EC;Local Municipality;EC136 ;0.821870817;0.833516382;-0.013971609
South Africa ;EC;Local Municipality;EC137 ;0.832997171;0.872617263;-0.045403745
South Africa ;EC;Local Municipality;EC138 ;0.820655838;0.818673144;0.002421838
South Africa ;EC;Local Municipality;EC139 ;0.738097977;;
South Africa ;EC;Local Municipality;EC141 ;0.837852631;0.805149727;0.040617171
South Africa ;EC;Local Municipality;EC142 ;0.677618853;0.86356768;-0.215326293
South Africa ;EC;Local Municipality;EC145 ;0.668701807;;
South Africa ;EC;Local Municipality;EC153 ;0.834876128;0.890074204;-0.06201514
South Africa ;EC;Local Municipality;EC154 ;0.794629872;0.821901438;-0.033181066
South Africa ;EC;Local Municipality;EC155 ;0.835913012;0.86172375;-0.029952451
South Africa ;EC;Local Municipality;EC156 ;0.780925411;0.907996647;-0.139946813
South Africa ;EC;Local Municipality;EC157 ;0.630519363;0.655937304;-0.038750566
South Africa ;EC;Local Municipality;EC441 ;0.735636286;0.719898532;0.021861073
South Africa ;EC;Local Municipality;EC442 ;0.77154824;0.816725227;-0.055314793
South Africa ;EC;Local Municipality;EC443 ;0.805056001;0.800691668;0.005450704
South Africa ;EC;Local Municipality;EC444 ;0.851086325;0.863935917;-0.014873316
South Africa ;EC;Metropolitan Municipality;NMA ;0.409199553;0.51909559;-0.211706744
South Africa ;FS;Local Municipality;FS161 ;0.685113496;0.764335569;-0.103648287
South Africa ;FS;Local Municipality;FS162 ;0.695138185;0.698460182;-0.004756173
South Africa ;FS;Local Municipality;FS163 ;0.652745283;0.807147505;-0.191293686
South Africa ;FS;Local Municipality;FS181 ;0.640768565;0.785423188;-0.184174119
South Africa ;FS;Local Municipality;FS182 ;0.65694528;0.666197183;-0.013887635
South Africa ;FS;Local Municipality;FS183 ;0.727355131;0.809736553;-0.101738549
South Africa ;FS;Local Municipality;FS184 ;0.621648755;0.715905927;-0.131661395
South Africa ;FS;Local Municipality;FS185 ;0.615452072;0.740503061;-0.168873021
South Africa ;FS;Local Municipality;FS191 ;0.613961244;0.748110429;-0.179317357
South Africa ;FS;Local Municipality;FS192 ;0.629205994;0.739033026;-0.148609099
South Africa ;FS;Local Municipality;FS193 ;0.70256251;0.783844282;-0.103696326
South Africa ;FS;Local Municipality;FS194 ;0.673971971;0.752292467;-0.104109106
South Africa ;FS;Local Municipality;FS195 ;0.772338355;0.772086797;0.000325816
South Africa ;FS;Local Municipality;FS196 ;0.660807205;0.735693363;-0.101789906
South Africa ;FS;Local Municipality;FS201 ;0.601044942;0.67551751;-0.110245208
South Africa ;FS;Local Municipality;FS203 ;0.652368652;0.718343531;-0.091843075
South Africa ;FS;Local Municipality;FS204 ;0.450751419;0.630413291;-0.284990615
